event_id,timestamp,start_index,status,low_threshold_kw,high_threshold_kw,dwell_minutes,retention_minutes,retained,first_exit_minute,missing_in_dwell,missing_in_retention,n_missing_in_window,observed_event_energy_kwh,estimated_event_energy_kwh,peak_power_kw,mean_power_kw
21,2006-12-23 01:59:00,9155,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8685666666666666,0.8685666666666666,2.444,1.7371333333333332
22,2006-12-23 02:11:00,9167,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8751666666666666,0.8751666666666666,2.444,1.7503333333333333
23,2006-12-23 02:26:00,9182,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8660333333333332,0.8660333333333332,2.446,1.7320666666666666
24,2006-12-23 02:35:00,9191,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8750666666666667,0.8750666666666667,2.446,1.7501333333333333
25,2006-12-23 03:09:00,9225,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9205333333333334,0.9205333333333334,2.5,1.8410666666666669
26,2006-12-23 03:46:00,9262,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8921999999999999,0.8921999999999999,2.424,1.7844
27,2006-12-23 03:51:00,9267,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8915000000000001,0.8915000000000001,2.424,1.7830000000000001
28,2006-12-23 04:00:00,9276,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8926666666666667,0.8926666666666667,2.424,1.7853333333333334
29,2006-12-23 04:19:00,9295,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9059333333333333,0.9059333333333333,2.452,1.8118666666666665
30,2006-12-23 04:24:00,9300,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9234999999999999,0.9234999999999999,2.452,1.847
31,2006-12-23 04:34:00,9310,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.1013666666666666,1.1013666666666666,3.428,2.202733333333333
32,2006-12-23 04:50:00,9326,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.386066666666667,1.386066666666667,3.526,2.772133333333334
33,2006-12-23 05:31:00,9367,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9219666666666667,0.9219666666666667,2.588,1.8439333333333334
34,2006-12-23 05:36:00,9372,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9350666666666666,0.9350666666666666,2.588,1.8701333333333332
35,2006-12-23 05:41:00,9377,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9094666666666665,0.9094666666666665,2.588,1.818933333333333
36,2006-12-23 05:59:00,9395,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8573333333333332,0.8573333333333332,2.478,1.7146666666666663
37,2006-12-23 06:12:00,9408,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8168000000000002,0.8168000000000002,2.478,1.6336000000000004
38,2006-12-23 06:32:00,9428,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7941,0.7941,2.448,1.5882
39,2006-12-24 02:37:00,10633,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.827,0.827,2.536,1.654
40,2006-12-24 02:43:00,10639,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8336666666666667,0.8336666666666667,2.536,1.6673333333333333
41,2006-12-24 03:01:00,10657,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8271333333333333,0.8271333333333333,2.502,1.6542666666666668
42,2006-12-24 03:18:00,10674,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8148333333333332,0.8148333333333332,2.502,1.6296666666666664
43,2006-12-24 04:23:00,10739,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8231666666666667,0.8231666666666667,2.546,1.6463333333333334
44,2006-12-24 04:57:00,10773,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8550666666666665,0.8550666666666665,2.612,1.710133333333333
45,2006-12-24 07:35:00,10931,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7508666666666667,0.7508666666666667,2.392,1.5017333333333334
46,2006-12-24 07:41:00,10937,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7340999999999999,0.7340999999999999,2.392,1.4681999999999997
47,2006-12-24 08:00:00,10956,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7372666666666666,0.7372666666666666,2.372,1.4745333333333333
48,2006-12-24 08:16:00,10972,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7217333333333332,0.7217333333333332,2.372,1.4434666666666665
49,2006-12-24 08:29:00,10985,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7239999999999999,0.7239999999999999,2.396,1.4479999999999997
50,2006-12-24 08:38:00,10994,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7125333333333332,0.7125333333333332,2.426,1.4250666666666665
51,2006-12-24 08:49:00,11005,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.1283999999999998,1.1283999999999998,6.14,2.2567999999999997
52,2006-12-24 09:05:00,11021,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.4570666666666665,1.4570666666666665,6.14,2.914133333333333
53,2006-12-29 00:13:00,17689,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7461333333333333,0.7461333333333333,2.71,1.4922666666666666
54,2006-12-29 00:48:00,17724,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7007333333333333,0.7007333333333333,2.49,1.4014666666666666
55,2006-12-29 00:54:00,17730,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7412333333333335,0.7412333333333335,2.804,1.482466666666667
56,2006-12-29 01:00:00,17736,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8553666666666666,0.8553666666666666,3.488,1.7107333333333332
57,2006-12-29 01:06:00,17742,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9586333333333333,0.9586333333333333,3.516,1.9172666666666667
58,2006-12-29 02:19:00,17815,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.238066666666667,1.238066666666667,2.636,2.476133333333334
59,2006-12-30 23:35:00,20531,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.35496666666666676,0.35496666666666676,2.452,0.7099333333333335
60,2006-12-30 23:46:00,20542,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.3664666666666666,0.3664666666666666,2.494,0.7329333333333332
61,2006-12-30 23:57:00,20553,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.38856666666666667,0.38856666666666667,2.494,0.7771333333333333
62,2006-12-31 01:01:00,20617,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.36339999999999995,0.36339999999999995,2.374,0.7268
63,2006-12-31 01:33:00,20649,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.3566,0.3566,2.442,0.7132
64,2006-12-31 03:00:00,20736,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.4145000000000001,0.4145000000000001,2.546,0.8290000000000002
65,2006-12-31 03:28:00,20764,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.42310000000000003,0.42310000000000003,2.412,0.8462000000000001
66,2006-12-31 04:04:00,20800,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.4598333333333333,0.4598333333333333,3.112,0.9196666666666666
67,2006-12-31 04:13:00,20809,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6326666666666668,0.6326666666666668,3.456,1.2653333333333336
68,2007-01-14 03:13:00,40909,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5680333333333331,0.5680333333333331,2.378,1.1360666666666661
69,2007-01-14 03:18:00,40914,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5761999999999999,0.5761999999999999,2.378,1.1523999999999999
70,2007-01-14 03:43:00,40939,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5945333333333334,0.5945333333333334,2.394,1.1890666666666667
71,2007-01-14 03:54:00,40950,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5892,0.5892,2.394,1.1784
72,2007-01-14 04:25:00,40981,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5936666666666666,0.5936666666666666,2.382,1.1873333333333334
73,2007-01-14 04:31:00,40987,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6078333333333334,0.6078333333333334,2.432,1.215666666666667
74,2007-01-14 04:48:00,41004,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6328999999999999,0.6328999999999999,2.432,1.2657999999999998
75,2007-01-14 05:33:00,41049,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6031333333333333,0.6031333333333333,2.404,1.2062666666666666
76,2007-01-14 05:38:00,41054,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6412666666666668,0.6412666666666668,2.666,1.2825333333333335
77,2007-01-14 07:00:00,41136,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5689999999999998,0.5689999999999998,2.424,1.1379999999999997
78,2007-01-14 07:06:00,41142,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5783666666666667,0.5783666666666667,2.424,1.1567333333333336
79,2007-01-14 07:38:00,41174,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5732333333333334,0.5732333333333334,2.494,1.1464666666666667
80,2007-01-14 08:01:00,41197,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5342666666666667,0.5342666666666667,2.386,1.0685333333333333
81,2007-01-14 08:07:00,41203,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6923666666666666,0.6923666666666666,5.686,1.3847333333333331
82,2007-01-14 08:52:00,41248,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7355666666666667,0.7355666666666667,2.774,1.4711333333333334
83,2007-01-20 01:05:00,49421,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6117666666666665,0.6117666666666665,2.506,1.223533333333333
84,2007-01-20 01:33:00,49449,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5688,0.5688,2.422,1.1376
85,2007-01-20 01:39:00,49455,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5722999999999999,0.5722999999999999,2.434,1.1445999999999998
86,2007-01-20 02:08:00,49484,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5742333333333334,0.5742333333333334,2.422,1.1484666666666667
87,2007-01-20 02:19:00,49495,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5528,0.5528,2.422,1.1056
88,2007-01-20 02:48:00,49524,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5659,0.5659,2.522,1.1318
89,2007-01-20 03:20:00,49556,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5417666666666666,0.5417666666666666,2.436,1.0835333333333332
90,2007-01-20 03:57:00,49593,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5329333333333333,0.5329333333333333,2.398,1.0658666666666667
91,2007-01-20 04:41:00,49637,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5661666666666665,0.5661666666666665,2.482,1.132333333333333
92,2007-01-20 04:54:00,49650,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5747333333333333,0.5747333333333333,2.482,1.1494666666666666
93,2007-01-20 05:20:00,49676,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5659999999999998,0.5659999999999998,2.362,1.132
94,2007-01-20 06:00:00,49716,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5771000000000001,0.5771000000000001,2.398,1.1542000000000001
95,2007-01-20 06:28:00,49744,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5934333333333334,0.5934333333333334,2.568,1.1868666666666667
96,2007-01-20 06:41:00,49757,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5938999999999999,0.5938999999999999,2.568,1.1877999999999997
97,2007-01-20 07:01:00,49777,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8698333333333333,0.8698333333333333,3.504,1.739666666666667
98,2007-01-21 01:14:00,50870,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6552333333333332,0.6552333333333332,2.516,1.3104666666666664
99,2007-01-21 02:24:00,50940,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6084,0.6084,2.418,1.2168
100,2007-01-21 02:47:00,50963,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6018666666666667,0.6018666666666667,2.476,1.2037333333333333
101,2007-01-21 02:58:00,50974,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6419000000000001,0.6419000000000001,2.476,1.2838000000000003
102,2007-01-21 03:26:00,51002,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6053333333333335,0.6053333333333335,2.538,1.210666666666667
103,2007-01-21 03:31:00,51007,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6280666666666667,0.6280666666666667,2.538,1.2561333333333333
104,2007-01-21 03:36:00,51012,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6328666666666667,0.6328666666666667,2.538,1.2657333333333334
105,2007-01-21 03:46:00,51022,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6511666666666667,0.6511666666666667,2.538,1.3023333333333333
106,2007-01-21 04:10:00,51046,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6221666666666668,0.6221666666666668,2.44,1.2443333333333335
107,2007-01-21 04:38:00,51074,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6104333333333333,0.6104333333333333,2.43,1.2208666666666665
108,2007-01-21 04:52:00,51088,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6122000000000001,0.6122000000000001,2.43,1.2244000000000002
109,2007-01-21 05:51:00,51147,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9322,0.9322,4.342,1.8644
110,2007-01-21 06:00:00,51156,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.0832333333333333,1.0832333333333333,4.342,2.1664666666666665
111,2007-01-21 07:22:00,51238,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6180000000000001,0.6180000000000001,2.434,1.2360000000000002
112,2007-01-21 07:49:00,51265,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6083666666666667,0.6083666666666667,2.388,1.2167333333333334
113,2007-01-21 07:58:00,51274,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6164,0.6164,2.388,1.2328
114,2007-01-21 08:07:00,51283,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9001,0.9001,4.44,1.8002
115,2007-01-21 09:43:00,51379,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.072066666666667,1.072066666666667,3.468,2.144133333333334
116,2007-01-23 23:31:00,55087,rejected_first_exit,0.308,1.528,5,30,0,6,0,0,0,0.7045666666666665,0.7045666666666665,2.516,1.409133333333333
117,2007-01-23 23:50:00,55106,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7522999999999999,0.7522999999999999,2.542,1.5045999999999997
118,2007-01-24 00:35:00,55151,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.252,1.252,3.534,2.504
119,2007-01-24 02:53:00,55289,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7413666666666666,0.7413666666666666,2.528,1.4827333333333332
120,2007-01-24 03:07:00,55303,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7658000000000001,0.7658000000000001,2.528,1.5316000000000003
121,2007-01-24 03:33:00,55329,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7116000000000002,0.7116000000000002,2.438,1.4232000000000005
122,2007-01-24 03:39:00,55335,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7380666666666666,0.7380666666666666,2.438,1.4761333333333333
123,2007-01-24 03:45:00,55341,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7864333333333333,0.7864333333333333,2.438,1.5728666666666666
124,2007-01-24 03:56:00,55352,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7323666666666668,0.7323666666666668,2.438,1.4647333333333337
125,2007-01-24 04:18:00,55374,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7489333333333333,0.7489333333333333,2.504,1.4978666666666667
126,2007-01-24 04:33:00,55389,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7242999999999998,0.7242999999999998,2.504,1.4485999999999997
127,2007-01-24 04:54:00,55410,rejected_first_exit,0.308,1.528,5,30,0,5,0,0,0,0.7662666666666669,0.7662666666666669,2.414,1.5325333333333337
128,2007-01-24 05:11:00,55427,rejected_first_exit,0.308,1.528,5,30,0,17,0,0,0,0.7479333333333334,0.7479333333333334,2.398,1.495866666666667
129,2007-01-24 05:29:00,55445,rejected_first_exit,0.308,1.528,5,30,0,6,0,0,0,0.7525666666666667,0.7525666666666667,2.518,1.5051333333333334
130,2007-01-24 05:38:00,55454,rejected_first_exit,0.308,1.528,5,30,0,6,0,0,0,0.7835333333333333,0.7835333333333333,2.53,1.5670666666666666
131,2007-01-24 05:47:00,55463,rejected_first_exit,0.308,1.528,5,30,0,5,0,0,0,0.7943,0.7943,2.53,1.5886
132,2007-01-24 06:31:00,55507,rejected_first_exit,0.308,1.528,5,30,0,22,0,0,0,0.7682333333333331,0.7682333333333331,2.63,1.5364666666666662
133,2007-01-24 06:57:00,55533,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.1201333333333332,1.1201333333333332,4.35,2.2402666666666664
134,2007-01-24 07:05:00,55541,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,1.6006666666666665,1.6006666666666665,7.248,3.201333333333333
135,2007-01-28 01:20:00,60956,rejected_first_exit,0.308,1.528,5,30,0,6,0,0,0,0.7507999999999997,0.7507999999999997,2.592,1.5015999999999994
136,2007-01-28 01:57:00,60993,rejected_first_exit,0.308,1.528,5,30,0,23,0,0,0,0.7861,0.7861,2.478,1.5722
137,2007-01-28 02:39:00,61035,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7307666666666666,0.7307666666666666,2.47,1.4615333333333331
138,2007-01-28 03:00:00,61056,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7578,0.7578,2.47,1.5156
139,2007-01-28 03:41:00,61097,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7648666666666666,0.7648666666666666,2.554,1.5297333333333332
140,2007-01-28 04:25:00,61141,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7219333333333332,0.7219333333333332,2.566,1.4438666666666664
141,2007-01-28 05:08:00,61184,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7658666666666667,0.7658666666666667,2.554,1.5317333333333336
142,2007-01-28 05:34:00,61210,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7706333333333334,0.7706333333333334,2.63,1.5412666666666668
143,2007-01-28 05:40:00,61216,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7806333333333333,0.7806333333333333,2.63,1.5612666666666668
144,2007-01-28 05:47:00,61223,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7927666666666667,0.7927666666666667,2.63,1.5855333333333335
145,2007-01-28 06:15:00,61251,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7492,0.7492,2.48,1.4984
146,2007-01-28 06:28:00,61264,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.7566333333333335,0.7566333333333335,2.5,1.513266666666667
147,2007-01-28 07:00:00,61296,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6809333333333333,0.6809333333333333,2.422,1.3618666666666666
148,2007-01-28 07:07:00,61303,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6929333333333332,0.6929333333333332,2.422,1.3858666666666664
149,2007-02-03 04:28:00,69784,rejected_first_exit,0.308,1.528,5,30,0,24,0,0,0,1.0858999999999999,1.0858999999999999,2.554,2.1717999999999997
150,2007-02-03 04:53:00,69809,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.216633333333333,1.216633333333333,2.738,2.433266666666666
151,2007-02-03 06:53:00,69929,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.0947,1.0947,2.694,2.1894
152,2007-02-03 08:21:00,70017,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.2403000000000002,1.2403000000000002,5.238,2.4806000000000004
153,2007-02-04 03:21:00,71157,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9661,0.9661,2.446,1.9322000000000001
154,2007-02-04 03:44:00,71180,rejected_first_exit,0.308,1.528,5,30,0,10,0,0,0,0.9880666666666666,0.9880666666666666,2.464,1.9761333333333333
155,2007-02-04 03:55:00,71191,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.9833666666666666,0.9833666666666666,2.464,1.9667333333333332
156,2007-02-04 05:07:00,71263,accepted_retained,0.308,1.528,5,30,1,,0,0,0,1.0098333333333334,1.0098333333333334,2.56,2.0196666666666667
157,2007-02-11 07:07:00,81463,accepted_retained,0.308,1.528,5,30,1,,0,0,0,0.9766333333333334,0.9766333333333334,2.498,1.9532666666666667
158,2007-02-23 11:08:00,98984,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.6634666666666665,0.6634666666666665,2.114,1.326933333333333
159,2007-03-21 06:43:00,136159,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.5341666666666667,0.5341666666666667,4.798,1.0683333333333336
160,2007-03-24 07:33:00,140529,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8991666666666667,0.8991666666666667,5.14,1.7983333333333333
161,2007-03-30 17:33:00,149769,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.286,0.286,3.058,0.572
162,2007-04-01 17:03:00,152619,accepted_retained,0.308,1.528,5,30,1,,0,0,0,2.374166666666667,2.374166666666667,7.546,4.748333333333334
163,2007-04-09 22:32:00,164468,rejected_first_exit,0.308,1.528,5,30,0,25,0,0,0,0.6422666666666668,0.6422666666666668,2.672,1.2845333333333335
164,2007-04-16 12:46:00,173962,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.3643666666666666,0.3643666666666666,3.044,0.7287333333333332
165,2007-04-18 08:59:00,176615,rejected_first_exit,0.308,1.528,5,30,0,13,0,0,0,0.5598333333333332,0.5598333333333332,2.378,1.1196666666666664
166,2007-04-19 17:59:00,178595,rejected_first_exit,0.308,1.528,5,30,0,22,0,0,0,0.6270333333333333,0.6270333333333333,2.71,1.2540666666666667
167,2007-04-21 07:07:00,180823,rejected_first_exit,0.308,1.528,5,30,0,11,0,0,0,0.6361333333333334,0.6361333333333334,4.838,1.2722666666666669
168,2007-04-23 06:50:00,183686,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.8845,0.8845,4.676,1.769
169,2007-04-25 19:43:00,187339,rejected_first_exit,0.308,1.528,5,30,0,12,0,0,0,0.7745333333333333,0.7745333333333333,4.162,1.5490666666666668
170,2007-04-26 06:41:00,187997,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.47576666666666667,0.47576666666666667,4.222,0.9515333333333333
171,2007-04-30 19:33:00,194529,rejected_first_exit,0.308,1.528,5,30,0,6,0,0,0,0.5142333333333333,0.5142333333333333,2.458,1.0284666666666666
172,2007-05-02 11:11:00,196907,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.1667666666666667,0.1667666666666667,1.642,0.3335333333333334
173,2007-05-06 00:45:00,202041,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.39713333333333334,0.39713333333333334,2.274,0.7942666666666667
174,2007-05-06 00:54:00,202050,rejected_dwell_failure,0.308,1.528,5,30,0,,0,0,0,0.3995666666666667,0.3995666666666667,2.274,0.7991333333333334
