event_id,timestamp,start_index,q50_wh,q75_wh,dwell_minutes,retention_primary_minutes,retention_strict_minutes,retained_60min,retained_120min,event_energy_60min_kwh,event_energy_120min_kwh
43,2016-02-23 12:50:00,6167,60.0,100.0,30,60,120,0,0,0.92,1.25
44,2016-02-24 13:30:00,6315,60.0,100.0,30,60,120,1,1,1.04,2.09
45,2016-02-25 14:40:00,6466,60.0,100.0,30,60,120,1,1,1.42,1.88
46,2016-02-26 12:00:00,6594,60.0,100.0,30,60,120,1,1,2.67,3.17
47,2016-02-27 10:40:00,6730,60.0,100.0,30,60,120,1,1,1.17,1.77
48,2016-02-27 13:30:00,6747,60.0,100.0,30,60,120,1,1,1.7,2.23
49,2016-02-29 08:10:00,7003,60.0,100.0,30,60,120,1,0,1.38,1.77
50,2016-02-29 10:20:00,7016,60.0,100.0,30,60,120,1,1,2.78,3.67
51,2016-02-29 17:30:00,7059,60.0,100.0,30,60,120,1,1,2.12,3.42
52,2016-03-02 08:00:00,7290,60.0,100.0,30,60,120,1,0,1.05,2.02
53,2016-03-02 09:20:00,7298,60.0,100.0,30,60,120,1,1,1.0,1.82
54,2016-03-02 10:20:00,7304,60.0,100.0,30,60,120,1,1,0.82,1.34
55,2016-03-03 14:40:00,7474,60.0,100.0,30,60,120,0,0,0.86,1.2
56,2016-03-04 14:40:00,7618,60.0,100.0,30,60,120,1,1,2.47,3.88
57,2016-03-05 18:10:00,7783,60.0,100.0,30,60,120,1,1,1.18,1.84
58,2016-03-06 17:40:00,7924,60.0,100.0,30,60,120,1,1,1.7,3.22
59,2016-03-07 08:20:00,8012,60.0,100.0,30,60,120,1,1,0.86,2.54
60,2016-03-07 09:50:00,8021,60.0,100.0,30,60,120,1,1,2.42,5.06
61,2016-03-07 13:20:00,8042,60.0,100.0,30,60,120,1,1,2.25,3.52
62,2016-03-09 08:30:00,8301,60.0,100.0,30,60,120,1,1,1.76,2.71
63,2016-03-12 11:50:00,8753,60.0,100.0,30,60,120,1,1,1.4,2.37
64,2016-03-13 09:40:00,8884,60.0,100.0,30,60,120,1,1,0.64,1.34
65,2016-03-14 09:50:00,9029,60.0,100.0,30,60,120,1,1,2.93,4.35
66,2016-03-15 07:00:00,9156,60.0,100.0,30,60,120,1,0,0.91,1.25
67,2016-03-15 12:20:00,9188,60.0,100.0,30,60,120,1,0,0.87,1.19
68,2016-03-16 07:20:00,9302,60.0,100.0,30,60,120,1,1,0.99,2.47
69,2016-03-16 10:40:00,9322,60.0,100.0,30,60,120,0,0,0.84,1.56
70,2016-03-19 09:40:00,9748,60.0,100.0,30,60,120,1,1,1.02,3.29
71,2016-03-23 06:30:00,10305,60.0,100.0,30,60,120,1,0,1.26,2.12
72,2016-03-23 08:00:00,10314,60.0,100.0,30,60,120,1,1,0.89,1.33
73,2016-03-25 08:40:00,10606,60.0,100.0,30,60,120,1,1,1.88,2.86
74,2016-03-25 11:00:00,10620,60.0,100.0,30,60,120,1,0,3.12,4.08
75,2016-03-25 13:00:00,10632,60.0,100.0,30,60,120,1,1,2.37,4.44
76,2016-03-26 10:00:00,10758,60.0,100.0,30,60,120,1,1,1.16,2.91
77,2016-03-28 09:40:00,11044,60.0,100.0,30,60,120,1,1,0.64,1.99
78,2016-04-01 09:10:00,11617,60.0,100.0,30,60,120,1,0,0.62,1.76
79,2016-04-04 07:20:00,12038,60.0,100.0,30,60,120,1,0,0.95,2.21
80,2016-04-05 07:40:00,12184,60.0,100.0,30,60,120,1,1,2.32,3.12
81,2016-04-07 09:30:00,12483,60.0,100.0,30,60,120,0,0,0.84,1.14
82,2016-04-10 08:40:00,12910,60.0,100.0,30,60,120,1,1,0.8,1.3
83,2016-04-16 08:30:00,13773,60.0,100.0,30,60,120,1,0,1.15,1.52
84,2016-04-17 08:30:00,13917,60.0,100.0,30,60,120,1,0,1.12,2.62
85,2016-04-22 15:20:00,14678,60.0,100.0,30,60,120,1,1,2.46,3.57
86,2016-04-28 16:00:00,15546,60.0,100.0,30,60,120,1,1,1.12,2.73
87,2016-04-29 06:50:00,15635,60.0,100.0,30,60,120,1,1,1.79,2.9
88,2016-04-29 11:30:00,15663,60.0,100.0,30,60,120,1,0,2.32,2.89
89,2016-04-29 13:30:00,15675,60.0,100.0,30,60,120,1,0,1.67,2.31
90,2016-05-05 17:30:00,16563,60.0,100.0,30,60,120,1,1,1.78,2.33
91,2016-05-07 07:30:00,16791,60.0,100.0,30,60,120,1,1,1.0,1.98
92,2016-05-08 08:20:00,16940,60.0,100.0,30,60,120,1,1,1.53,2.42
93,2016-05-09 12:20:00,17108,60.0,100.0,30,60,120,1,1,0.82,2.03
94,2016-05-09 13:20:00,17114,60.0,100.0,30,60,120,1,0,1.21,1.57
95,2016-05-15 07:50:00,17945,60.0,100.0,30,60,120,0,0,0.8,1.44
96,2016-05-15 08:40:00,17950,60.0,100.0,30,60,120,1,1,0.69,1.32
97,2016-05-22 08:30:00,18957,60.0,100.0,30,60,120,1,1,1.31,1.9
98,2016-05-27 07:30:00,19671,60.0,100.0,30,60,120,1,1,1.03,1.5
99,2016-05-27 09:40:00,19684,60.0,100.0,30,60,120,1,1,2.33,4.03
